index:4846	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
this is the 3 copy version of norton av . ( one cd will create three copies ) i purchased it to save money as it was less than $20 per copy . i bought it to replace nav 2006 on the same three computers which had expired . installed easily on two machines . just the uninstall of 2006 and the install of 2007. the first machine was more difficult . there is evidently some conflicting software on the computer as i had to use msconfig for a " clean boot " per norton web site instructions . i kept running into the " blue screen of death " on the previous installs when i would get to the actual install of the norton av . each time i would have to uninstall the program and do more . but all of the help came from the symantec ( norton ) website . it is now working fine . added : my personal preference is to not use software firewalls . i use a router with nat as a hardware firewall . ( it only blocks unauthorized incoming malware ) software firewalls try to tell you about everything leaving your computer and generally you either become paranoid or just shut the thing off . they are intended to look for malware by behavior . antivirus programs look for malware by signature . the only advantage to finding malware by behavior is if the computer is attacked in the first day or two of the malware 's existence . if one has an antivirus program it will eventually ( within a few days ) find the problem that the software firewall was trying to tell someone about . ( assuming they have n't given up yet with too many cries for wolf ) . so the only software firewall i have ( microsoft os firewall ) is turned off and thus i have n't had the same problem as others report . as a practice i sent junk email directly to the trash can and avoid weird websites . so far no problems with malware .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
             word  freq in doc  freq in neg docs  freq in pos docs
24         audiences            1                 5                14
25           focuses            1                 9                25
26          morality            1                26                10
27              stem            1                 5                 2
28           housing            1                 8                19
29          dialogue            2                61                26
30              best            1               470              1059
31         conceived            2                 9                 4
32         highlight            1                 8                18
33           instead            3               347               155
34            insert            1                22                10
35          editions            1                 6                13
36             shame            1                64                30
37          features            1               138               293
38        apparently            2                95                45
39          movement            1                23                48
40           credits            1                25                12
41         alexander            1                 6                12
42            berlin            1                 2                 4
43         criterion            1                 3                 6
44               dub            1                 4                 8
45     intentionally            1                 4                 2
46           jitters            1                 2                 1
47          marriage            1                15                30
48               pal            1                 4                 8
49          subjects            1                18                36
50            tackle            1                 4                 8
51           viewers            1                13                26
52           fiction            1                59                30
53          separate            1                25                49
54        television            2                19                37
55            impact            2                22                42
56            stated            1                47                25
57               cry            1                16                30
58           stories            6                61               113
59              nice            1               209               386
60         broadcast            2                 9                 5
61          european            1                20                36
62          annoying            1               115                64
63        especially            2               168               301
64             block            1                32                18
65             price            1               254               451
66             plays            2                62               110
67               art            1                77               135
68           someone            1               274               157
69              puts            1                24                41
70         interview            1                17                29
71              same            1               727               430
72            bottom            1                86                51
73            entire            1               190               113
74            extras            1                27                45
75            nature            1                45                75
76          personal            2                82               134
77               not            4              5323              3260
78                no            2              1818              1133
79          imported            1                 8                 5
80             lives            1                71               113
81              boot            1                38                24
82             maker            1                12                19
83              left            1               213               136
84            import            1                39                25
85                 t            3              4503              2890
86       underground            1                 9                14
87             could            2              1164               749
88               let            1               316               205
89                 n            3              4387              2850
90             wrote            1                75                49
91                ad            2                21                32
92          director            2               105                69
93              disc            3                96               146
94               off            1               732               483
95             style            2               140               212
96              each            4               252               380
97             after            2              1236               823
98             would            1              2164              1441
99   cinematographer            1                 2                 3
100           intent            1                12                 8
101             they            1              2739              1836
102             copy            2               131                88
103             also            2               842              1253
104            often            1               144               213
105           unlike            1                48                71
106       characters            1               345               234
107             true            1               172               253
108          missing            1                82                56
109              vhs            1                26                18
110     consequences            2                10                 7
111              was            3              5467              3831
112         released            1                83               118
113         original            2               334               235
114       connection            1                44                31
115         inspired            1                24                34
116              via            1                45                32
117         together            1               152               213
118             tape            2                70                50
119           rather            3               270               193
120            extra            1                96               134
121          edition            1                86               120
122               do            3              2731              1962
123             then            1              1055               763
124          already            1               217               157
125         dramatic            1                21                29
126             were            2              1139               830
127           series            5               205               278
128             menu            1                45                61
129            still            1               599               810
130          another            2               609               451
131           scenes            1               163               121
132             what            1              1856              1391
133          bergman            1                 8                 6
134           number            1               156               117
135           polish            2                 6                 8
136            those            1               440               585
137             turn            1               182               137
138          limited            1                45                59
139              set            1               290               380
140              had            1              1686              1288
141             feel            1               302               395
142            issue            1                99                76
143              use            1               975              1270
144          planned            1                10                13
145        scratches            1                13                10
146           better            3               961               741
147        available            1               116               150
148             only            2              1565              1217
149        political            2                42                54
150             tied            1                 7                 9
151           little            1               544               699
152          started            1               190               148
153       eventually            1                77                60
154        different            1               304               390
155     particularly            1                50                64
156              can            2              1444              1844
157               if            1              2660              2084
158        initially            3                22                28
159         switched            1                28                22
160          decided            1               149               118
161            large            1                92               116
162              may            1               353               445
163              his            5              1515              1909
164       previously            1                34                27
165               as           10              3580              4487
166               tv            2                97               121
167            there            2              1896              1528
168              ten            3                52                42
169           spoken            1                16                13
170            views            1                32                26
171               wo            1               198               161
172              out            1              1983              1615
173      improvement            1                31                38
174              pop            1               102               125
175             very            1              1659              2023
176          picture            5               297               244
177          however            3               545               448
178           stayed            1                17                14
179        subtitles            2                14                17
180          culture            1                52                43
181          content            1                58                48
182              but            6              4672              3874
183              get            1              1595              1323
184            image            1               185               223
185           really            1               973              1172
186            hired            1                10                12
187         involved            1                49                41
188           making            2               233               195
189                i            3             17409             14584
190           change            1               131               156
191               so            3              2632              2214
192             over            2               899               757
193          digital            1               252               299
194             when            1              1811              1528
195             that           13              8117              6863
196             like            1              2228              1887
197           people            2               768               651
198            every            1               436               513
199         politics            1                17                20
200               be            2              3157              2688
201           decide            1                43                37
202            feels            1                74                86
203             fact            1               289               249
204          version            1               553               478
205           during            2               153               177
206             them            2              1127               977
207          between            1               219               252
208              has            3              1728              1986
209       ultimately            1                34                39
210          several            1               313               273
211          english            3                96                84
212          kingdom            1                 8                 7
213            offer            1                63                72
214           select            1                29                33
215              its            1               712               809
216             more            2              1632              1853
217              run            1               196               173
218              and           12             16392             18511
219           ending            1                80                71
220           before            2               559               500
221              who            1              1223              1358
222               re            1               530               479
223              add            1               138               125
224               it            5             12805             11629
225        attention            1                74                81
226               in            7              7861              8604
227               is           14             10782             11796
228               to           15             17142             15686
229         affected            1                11                12
230            which            1              1310              1203
231            given            1               161               148
232               an            4              1910              2076
233            first            1              1005              1092
234    automatically            1                26                24
235               up            2              1509              1395
236             with            2              4999              5398
237             play            1               226               244
238             been            1              1038               966
239             have            4              4311              4016
240          minimal            1                14                15
241             good            1              1514              1622
242                s           10              5094              5447
243             this            4              9854              9231
244               of           28             13280             14141
245          comment            2                33                31
246            films            3               146               155
247       interested            1                82                87
248              you            5              5542              5872
249               on            9              4756              4494
250                a           16             15218             16073
251            times            2               397               376
252             done            1               261               275
253              saw            1               152               160
254              for            2              6169              6493
255             film            5               866               823
256             many            1               778               817
257         watching            2               148               141
258           option            1                62                65
259            flaws            1                23                22
260               at            2              2284              2188
261            house            1               121               126
262             from            6              2240              2332
263             than            3              1288              1238
264          quality            4               500               520
265          brought            1                51                53
266            watch            2               204               212
267            other            2              1183              1141
268              end            1               383               370
269           screen            1               195               189
270              two            1               708               687
271           issues            1               102                99
272              all            2              2566              2496
273           itself            1               142               139
274            these            1               874               892
275              one            2              2703              2757
276               he            5              1830              1805
277               by            4              1819              1842
278           coming            1                86                85
279             time            1              1390              1406
280              far            1               379               375
281             will            1              1519              1507
282              the           49             33204             33454
283       experience            2               169               170
284              are            5              3589              3599
285             some            1              1439              1436
286         blotches            1                 1                 1
287     commandments            1                 1                 1
288        directors            1                13                13
289       themselves            1                78                78
290               us            2               335               335
291           viewer            1                33                33
======================================================================================================

index:1749	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
i tried to rent this dvd from an online service about a week ago . unfortunately , the dvd was damaged and unplayable , but not in the usual way i 've seen before ( like a disc cracked all the way through ) . it looked like someone had turned the playable side face-up and tapped a small nail with a hammer on it . the cracks had that kind of splintery pattern like a broken window . anyway , i returned the copy and ordered another , which i received today . again , this one is also unplayable and is cracked in an odd way . i just reported this problem online to the dvd rental company and ordered a replacement copy . however , i let them know that they may want to check their inventory of this dvd as someone may be intentionally destroying the dvds . if i get another one that is cracked or unplayable in any way , i 'm going to just buy a copy because the movie must really have gotten under someone 's skin for them to do something like that .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
              word  freq in doc  freq in neg docs  freq in pos docs
0         playable            1                 0                 2
1           tapped            1                 5                 0
2       unplayable            3                 2                 0
3       destroying            1                 7                 1
4           rental            1                 7                 1
5             rent            1                58                12
6    unfortunately            1               215                50
7         returned            1               136                33
8          service            1               223                72
9          cracked            3                18                 6
10          turned            1               166                59
11          broken            1                73                26
12       inventory            1                 5                 2
13         company            1               180                74
14         ordered            2               115                56
15         damaged            1                18                 9
16   intentionally            1                 4                 2
17         problem            1               509               256
18        received            1               170                89
19            nail            1                19                10
20          looked            1               133                72
21            skin            1                91               165
22         someone            3               274               157
23     replacement            1                64                37
24           tried            1               325               191
25          online            2               129                76
26             not            1              5323              3260
27       something            1               518               333
28            week            1               128                83
29             let            1               316               205
30            disc            1                96               146
31           today            1               116               176
32             buy            1               802               530
33            they            1              2739              1836
34            copy            3               131                88
35            also            1               842              1253
36             was            1              5467              3831
37            side            1               122               171
38            kind            1               224               160
39            know            1               751               537
40          window            1                46                33
41              do            1              2731              1962
42         because            1              1246               900
43         another            2               609               451
44          cracks            1                 4                 3
45            dvds            1                42                32
46           going            1               458               349
47             had            2              1686              1288
48           movie            1              1266               973
49              if            1              2660              2084
50             may            2               353               445
51              as            1              3580              4487
52            just            2              2105              1702
53            want            1               655               531
54              or            1              2429              1973
55               m            1               809               658
56          anyway            1                97                79
57         however            1               545               448
58             but            1              4672              3874
59             get            1              1595              1323
60          really            1               973              1172
61          hammer            1                 6                 5
62               i            8             17409             14584
63            must            1               307               366
64           again            1               539               454
65            that            4              8117              6863
66            like            4              2228              1887
67              be            1              3157              2688
68            them            2              1127               977
69             ago            1               193               222
70          gotten            1                47                54
71           small            1               266               304
72             any            1               969               848
73             and            5             16392             18511
74             odd            1                35                31
75          before            1               559               500
76              ve            1               725               809
77           check            1               114               126
78              it            2             12805             11629
79         pattern            1                11                10
80           about            1              1881              1712
81              in            3              7861              8604
82              is            3             10782             11796
83             way            4               797               729
84              to            5             17142             15686
85            face            1               122               133
86           which            1              1310              1203
87              an            2              1910              2076
88              up            1              1509              1395
89            with            1              4999              5398
90           their            1              1198              1115
91            have            1              4311              4016
92             dvd            4               455               487
93               s            1              5094              5447
94            this            4              9854              9231
95              of            2             13280             14141
96           usual            1                53                50
97              on            1              4756              4494
98               a            7             15218             16073
99             for            1              6169              6493
100          under            1               166               158
101           from            1              2240              2332
102            all            1              2566              2496
103            one            2              2703              2757
104        through            1               488               481
105           seen            1               229               232
106            the            9             33204             33454
107       reported            1                 9                 9
======================================================================================================

index:10819	label:pos	pred:neg	pred_prob: 1.00 vs 0.00
i 've been using norton antivirus 2002 with annual updates of patches forever with norton internet security 2003. now that it 's time to renewal norton antivirus , i thought i switch to trend micro internet secuirty 2005 after all the glowing wins it received from certain mainstream computer magazines . i like norton 2002 but it was a memory resident hog in the taskmanager considering i was running a p3 500 laptop with 196mb on winxp pro , resources are valuable . also newer norton antivirus version were a hit and miss . after also reading reviews at amazon , i took the plunge with trend micro . my review of this product can be best summarize along with it 's relations to norton antivirus 2002 ( updated ) . pros of trend micro 2005 : 1. fastest virus scan i 've seen . i have not find any virus in my system yet whereas norton would fail in about .01% of the time ( i.e. one stalling virus every year ) . 2. check incoming and outgoing mail like norton 3. scan selected files as i chose just like norton 4. alert and block virus threats 5. monitor nearby wifi connection 6. $25 mail in rebate making the price net at $15. ( it 's been 2 months since i 've mailed it and not received it yet ) . 7. uses about 10mb of system background resources versus norton 's 30mb . cons against trend micro 2005 : 1. very annoying auto-virus update every day that i log on the internet . i only have a 56k connection and updating takes 5 minutes . i 'm not trying to save the internet but everyday update may be a bit too much so i would prefer to have a preference setting that i can choose myself . norton is not as annoying . 2. on a wifi network , trend micro firewall failed 5 of the gibson research shields up test . ports were open . norton internet firewall close all major holes except for the non-critical ones which was n't a big worry . i ended up disabling trend micro firewall and using the norton firewall instead as it 's a full software and much better analysis and deeper protection . 3. anti-spam and data protection were subpar as i got advertisements and pop-up from certain websites like west cost major newspaper . using norton firewall stops them dead ; never seen them again . 4. still waiting for rebate . overall , i think using trendmicro internet security 2005 for it 's fast virus check and a separate norton internet firewall is the ideal combo for me . on it 's own merit , trend micro would be perfect only if ram and other resources are low as the case with my laptop but i would n't mind using norton if i had plentiful more ram .

Feature words extracted from documents and frequency that they appeared in neg/pos documents in training:
Sorted according to maximum relative difference between P(word | label)
               word  freq in doc  freq in neg docs  freq in pos docs
0    advertisements            1                 1                 0
1         disabling            1                 3                 0
2          incoming            1                 0                 1
3          outgoing            1                 3                 0
4         plentiful            1                 0                 2
5           shields            1                 0                 2
6        trendmicro            1                 0                 1
7            mailed            1                14                 1
8           patches            1                36                 3
9             merit            1                 8                 1
10             wins            1                 2                11
11           subpar            1                 5                 1
12            holes            1                12                 3
13        summarize            1                 1                 4
14              log            1                 7                 2
15         everyday            1                14                48
16           update            2                92                27
17            alert            1                15                 5
18              hog            1                12                 4
19           plunge            1                 1                 3
20        relations            1                 4                12
21             wifi            2                 3                 1
22            worry            1                13                38
23          perfect            1                95               265
24           failed            1                64                24
25             save            1               218                82
26           norton           16               134                51
27           annual            1                 2                 5
28          glowing            1                15                 6
29             spam            1                 4                10
30          threats            1                 3                 7
31           trying            1               364               161
32             best            1               470              1059
33          renewal            1                 9                 4
34          instead            1               347               155
35         updating            1                11                 5
36              ram            2                20                43
37             fast            1                93               199
38             pros            1                18                37
39             cons            1                20                40
40            ended            1                86                43
41          network            1                26                13
42         resident            1                 2                 4
43            winxp            1                 1                 2
44             mail            2                79                40
45         separate            1                25                49
46         received            2               170                89
47          overall            1               124               235
48           versus            1                 8                15
49         internet            7               127                69
50            micro            7                11                 6
51         annoying            2               115                64
52            block            1                32                18
53           amazon            1               380               214
54            price            1               254               451
55          reviews            1               330               189
56          thought            1               457               265
57           months            1               256               149
58           laptop            2                66                39
59         valuable            1                16                27
60           nearby            1                 3                 5
61           rebate            2                20                12
62             west            1                26                43
63           choose            1                43                71
64           deeper            1                14                23
65              not            4              5323              3260
66         firewall            6                31                19
67             fail            1                26                16
68             data            1                95                59
69       background            1                59                94
70            along            1               124               197
71        resources            3                22                14
72            stops            1                22                14
73            trend            7                22                14
74          updates            1                39                25
75                t            2              4503              2890
76                n            2              4387              2850
77                e            1               180               117
78         security            2                83                54
79              got            1               671               438
80         computer            1               398               261
81            virus            6                47                31
82            after            2              1236               823
83            would            4              2164              1441
84          fastest            1                 6                 9
85          minutes            1               249               166
86             miss            1                52                78
87            ports            1                 2                 3
88       preference            1                 4                 6
89             cost            1               155               104
90             also            2               842              1253
91             dead            1               113                77
92              non            1               124                85
93          product            1              1032               717
94              was            3              5467              3831
95       connection            2                44                31
96         analysis            1                34                24
97           except            1               121                86
98         research            1                87                62
99            chose            1                42                30
100       newspaper            1                10                14
101         waiting            1                77                55
102          review            1               262               188
103           ideal            1                13                18
104         running            1               144               104
105            were            3              1139               830
106            scan            2                30                22
107             bit            1               241               327
108           still            1               599               810
109            took            1               281               208
110             hit            1                86               116
111           combo            1                 8                 6
112          gibson            1                 3                 4
113       magazines            1                 4                 3
114           files            1               153               115
115              me            1              1928              1451
116             had            1              1686              1288
117             too            1               892               685
118          system            2               269               207
119          prefer            1                37                48
120          better            1               961               741
121         certain            2                75                58
122           never            1               714               554
123            only            2              1565              1217
124           using            5               410               527
125             can            2              1444              1844
126              if            2              2660              2084
127             may            1               353               445
128              as            5              3580              4487
129        critical            1                20                25
130             yet            2               264               330
131         reading            1               332               267
132            just            1              2105              1702
133             own            1               370               456
134               m            1               809               658
135            anti            1                70                57
136             pop            1               102               125
137      protection            2                40                49
138            open            1               161               132
139            very            1              1659              2023
140             day            1               376               454
141             but            3              4672              3874
142            mind            1               162               195
143        software            1               597               499
144          making            1               233               195
145               i           21             17409             14584
146              so            1              2632              2214
147           again            1               539               454
148           takes            1               249               295
149            that            3              8117              6863
150            like            4              2228              1887
151           every            2               436               513
152              be            3              3157              2688
153         monitor            1                43                50
154         version            1               553               478
155            them            2              1127               977
156         against            1                99                86
157         updated            1                31                27
158            auto            1                42                48
159             any            1               969               848
160            more            1              1632              1853
161         whereas            1                17                15
162             and           12             16392             18511
163           newer            1                31                35
164            ones            1               118               105
165              ve            3               725               809
166       antivirus            4                30                27
167      mainstream            1                20                18
168            much            2              1150              1040
169           check            2               114               126
170           close            1               172               190
171              it           10             12805             11629
172            full            1               240               264
173           about            2              1881              1712
174              in            4              7861              8604
175              is            2             10782             11796
176              to            5             17142             15686
177             big            1               342               314
178           which            1              1310              1203
179        websites            1                12                13
180              up            3              1509              1395
181            with            6              4999              5398
182            been            2              1038               966
183            year            1               375               349
184            have            3              4311              4016
185         setting            1                86                92
186               s            7              5094              5447
187            this            1              9854              9231
188              of            6             13280             14141
189          switch            1                50                47
190              on            4              4756              4494
191           major            2               124               131
192               a           10             15218             16073
193          memory            1               151               143
194        selected            1                19                18
195            test            1                58                55
196             for            4              6169              6493
197             net            1                20                21
198             pro            1               106               111
199             low            1               208               199
200              at            2              2284              2188
201            from            2              2240              2332
202           other            1              1183              1141
203          myself            1               199               192
204            uses            1                88                85
205           think            1               644               623
206     considering            1                67                65
207              my            3              3662              3771
208             all            2              2566              2496
209             one            1              2703              2757
210            find            1               574               582
211            seen            2               229               232
